sample_id,sample_group
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,DefNaive/naive/SPFnaive
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,GFD14Syn
41,DefNaive/naive/SPFnaive
42,
43,
44,
45,
46,
47,DefNaive/naive/SPFnaive
48,GFD14Syn
49,GFD14Allo
50,GFD14Allo
51,GFD14Allo
52,
53,GFD14Allo
54,GFD14Allo
55,GFD14Allo
56,GFD14Allo
57,GFD14Allo
58,GFD14Allo
59,DonorSyn
60,DonorSyn
61,DonorAllo
62,DonorAllo
63,Synstrecip
64,Synstrecip
65,Synstrecip
66,Synstrecip
67,Synstrecip
68,Synstrecip
69,Synstrecip
70,Allostrecip
71,DefAVehicle
72,DefAVehicle
73,DefAVehicle
74,DefAVehicle
75,DefADef
76,DefAVehicle
77,DefAVehicle
78,DefAVehicle
79,Allostrecip
80,Allostrecip
81,Allostrecip
82,Allostrecip
83,Allostrecip
84,Allostrecip
85,Allostrecip
86,Allostrecip
87,Allostrecip
88,DefADef
89,DefADef
90,DefADef
91,AllostSyn
92,SynstAllo
93,SynstAllo
94,SynstAllo
95,SynstAllo
96,AllostAllo
97,AllostAllo
98,SPFAllo
99,AllostAllo
100,DefADef
101,DefADef
102,DefADef
103,DefNaive/naive/SPFnaive
104,
105,
106,
107,
108,
109,DefNaive/naive/SPFnaive
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,SPFSyn
152,
153,
154,
155,
156,
157,SPFSyn
158,
159,
160,
161,
162,
163,SPFSyn
164,
165,
166,
167,
168,
169,SPFAllo
170,
171,
172,
173,
174,
175,SPFAllo
176,
177,
178,
179,
180,
181,SPFAllo
182,
183,
184,
185,
186,
187,DefADef
188,DefADef
